iso3,area,year,1,2,3,4,5,N,3+,fi_0,fi_1,fi_2
AFG,Kunar c_1,2017,39323,36786,34249,12685,0,123043,46934,0.381443885470933,0.16151264192193,0.0767473340395002
AFG,Kunar c_2,2017,79547,47139,13258,5892,0,145836,19150,0.131311884582682,0.0572378105086079,0.0280573917124563
AFG,Kunar c_3,2017,30091,25893,5598,5598,0,67180,11196,0.166656743078297,0.0833283715391486,0.0462935397439714
AFG,Kunar c_4,2017,44731,28628,7157,7157,0,87673,14314,0.16326577167429,0.0816328858371448,0.0453516032428583
AFG,Kunar c_5,2017,14157,11740,4834,2417,0,33148,7251,0.218746229033426,0.0972205462370782,0.0486102731185391
AFG,Kunduz,2017,492022,393618,185875,21868,0,1093383,207743,0.190000210356298,0.0700001737725939,0.0277779048045277
AFG,Kunduz,2018,364875,281721,241475,91219,0,979290,332694,0.339729804245933,0.144292633778894,0.0687971217242424
AFG,Kunduz,2019,445470,501154,167051,55684,0,1169359,222735,0.19047614975384,0.0793651336615473,0.0370371003829163
AFG,Kunduz,2020,327627,491441,208356,41671,0,1069095,250027,0.233867897614337,0.0909485748849884,0.0389779309706912
AFG,Kunduz,2021,502580,333369,314113,188468,0,1338530,502581,0.375472346529402,0.172091523287985,0.0886532240592292
AFG,Kunduz,2022,314113,565403,376935,125645,0,1382096,502580,0.363636100531367,0.15151504188807,0.0707070195477658
AFG,Kunduz Urban,2020,121302,136465,73652,15163,0,346582,88815,0.256259701888731,0.100003270029411,0.0430566696096931
AFG,Kunduz Urban,2021,106139,136465,76365,63637,0,382606,140002,0.365916896232678,0.177414015113894,0.0960991492844104
AFG,Kunduz Urban,2022,63637,101820,76365,38182,0,280004,114547,0.409090584420223,0.181817640700371,0.0909086219403215
AFG,Laghman,2017,227909,75970,151939,50646,0,506464,202585,0.3999988153156,0.166666008508667,0.0777773828829778
AFG,Laghman,2018,94183,141275,188366,47092,0,470916,235458,0.5,0.200000283136129,0.0888891720250179
AFG,Laghman,2019,145486,145486,169733,48495,0,509200,218228,0.428570306362922,0.17460264467138,0.0793647988129528
AFG,Laghman,2020,169733,193981,148046,74023,0,585783,222069,0.379097720486938,0.168487875771972,0.0842439378859862
AFG,Laghman,2021,127063,246744,196799,164000,0,734606,360799,0.491146274329369,0.238131733201199,0.128988116683562
AFG,Laghman,2022,98400,229599,262399,98400,0,688798,360799,0.523809592943069,0.222222383533828,0.105820251768701
AFG,Laghman c_1,2017,79238,120058,19209,16808,0,235313,36017,0.153059966937653,0.0748294116063853,0.0408160856202401
AFG,Laghman c_2,2017,29632,43855,29632,13038,0,116157,42670,0.367347641554104,0.159864091990438,0.078231282756193
AFG,Laghman c_3,2017,55417,31261,35524,17052,0,139254,52576,0.377554684246054,0.166669060374089,0.0827680194305211
AFG,Logar,2017,177846,195631,44462,26677,0,444616,71139,0.160000989618007,0.073333693194427,0.0377779177237586
AFG,Logar,2018,223171,357074,223171,89268,0,892684,312439,0.349999551913107,0.149999701275405,0.072222023072492
AFG,Logar,2019,234752,170728,64023,21341,0,490844,85364,0.173912689163971,0.0724636204849878,0.0338163562263276
AFG,Logar,2020,130312,170728,108594,65156,0,474790,173750,0.365951262663493,0.167727486537908,0.0864049837237984
